City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,13.63,94,31,4.42,US,1717826132
1,luganville,-15.5333,167.1667,26.21,78,83,4.92,VU,1717826414
2,bethel,41.3712,-73.414,15.98,86,16,0.45,US,1717826414
3,talnakh,69.4865,88.3972,1.78,93,92,3.6,RU,1717826414
4,iqaluit,63.7506,-68.5145,-0.15,69,100,9.26,CA,1717826414
5,ceeldheer,3.8488,47.1806,28.77,65,89,9.53,SO,1717826415
6,cacoal,-11.4386,-61.4472,20.33,72,0,0.81,BR,1717826415
7,ilulissat,69.2167,-51.1,0.28,92,100,2.38,GL,1717826415
8,kiskunfelegyhaza,46.7121,19.8446,24.41,51,99,1.73,HU,1717826296
9,kuantan,3.8077,103.326,32.06,70,40,2.57,MY,1717826415
10,sandnessjoen,66.0217,12.6316,9.29,62,48,3.6,NO,1717826415
11,yakeshi,49.2833,120.7333,20.63,28,100,1.35,CN,1717826416
12,antonio enes,-16.2325,39.9086,24.5,84,20,3.43,MZ,1717826416
13,invercargill,-46.4,168.35,10.01,90,55,0.88,NZ,1717826416
14,gebeit,21.0667,36.3167,39.25,12,0,4.34,SD,1717826416
15,bathsheba,13.2167,-59.5167,28.34,78,20,9.26,BB,1717826416
16,grytviken,-54.2811,-36.5092,-4.79,74,52,3.32,GS,1717826416
17,ushuaia,-54.8,-68.3,1.81,87,40,7.2,AR,1717826417
18,kristiansund,63.1115,7.732,13.03,68,26,3.09,NO,1717826417
19,blackmans bay,-43.0167,147.3167,11.07,78,64,0.45,AU,1717826417
20,bayanhongor,46.7167,100.1167,21.37,11,99,2.06,MN,1717826417
21,wailua homesteads,22.0669,-159.378,27.24,85,20,5.66,US,1717826366
22,borzya,50.3833,116.5167,11.08,75,100,5.29,RU,1717826417
23,nishinoomote,30.7333,131.0,22.31,94,75,8.23,JP,1717826418
24,freetown,8.484,-13.2299,26.36,87,100,3.25,SL,1717826418
25,port moresby,-9.4431,147.1797,28.68,79,75,7.72,PG,1717826371
26,ribeira grande,38.5167,-28.7,19.32,88,95,4.47,PT,1717826418
27,enewetak,11.3474,162.3373,28.28,83,88,7.66,MH,1717826418
28,harstad,68.799,16.5293,9.66,97,90,3.13,NO,1717826418
29,puerto ayora,-0.7393,-90.3518,20.31,97,42,1.97,EC,1717826419
30,darwin,-12.4611,130.8418,28.3,26,0,2.06,AU,1717826419
31,puerto natales,-51.7236,-72.4875,2.93,99,100,0.91,CL,1717826419
32,mata-utu,-13.2816,-176.1745,28.25,76,100,8.99,WF,1717826419
33,west island,-12.1568,96.8225,29.99,70,40,4.63,CC,1717826419
34,port sudan,19.6175,37.2164,36.5,32,2,3.39,SD,1717826420
35,port-aux-francais,-49.35,70.2167,6.07,97,99,10.38,TF,1717826420
36,port blair,11.6667,92.75,31.02,74,40,6.69,IN,1717826420
37,bubaque,11.2833,-15.8333,26.01,77,100,4.99,GW,1717826420
38,papatowai,-46.5619,169.4708,8.23,92,46,1.36,NZ,1717826420
39,klyuchi,52.2667,79.1667,25.6,45,7,8.77,RU,1717826420
40,queenstown,-31.8976,26.8753,6.68,90,74,1.31,ZA,1717826421
41,waitangi,-43.9535,-176.5597,8.23,77,14,1.34,NZ,1717826421
42,qaqortoq,60.7167,-46.0333,2.34,99,100,1.76,GL,1717826421
43,adamstown,-25.066,-130.1015,23.03,81,96,4.96,PN,1717826421
44,dudinka,69.4058,86.1778,2.04,97,94,4.02,RU,1717826421
45,kodiak,57.79,-152.4072,6.73,93,100,10.8,US,1717826421
46,ad dabbah,18.05,30.95,38.07,11,16,5.52,SD,1717826422
47,uturoa,-16.7333,-151.4333,26.02,81,7,1.42,PF,1717826422
48,edinburgh of the seven seas,-37.0676,-12.3116,14.43,84,100,5.27,SH,1717826422
49,carnarvon,-24.8667,113.6333,24.75,63,14,8.98,AU,1717826422
50,bilibino,68.0546,166.4372,10.45,33,11,4.04,RU,1717826422
51,atafu village,-8.5421,-172.5159,29.17,74,14,2.4,TK,1717826422
52,ubinskoye,55.3068,79.6802,21.52,72,92,5.41,RU,1717826423
53,petropavlovsk-kamchatsky,53.0452,158.6483,22.33,50,0,6.0,RU,1717826423
54,alice springs,-23.7,133.8833,17.75,45,0,1.54,AU,1717826312
55,bengkulu,-3.8004,102.2655,29.36,70,15,3.43,ID,1717826423
56,kyshtym,55.714,60.5528,12.32,89,100,2.65,RU,1717826142
57,east london,-33.0153,27.9116,11.52,93,0,3.09,ZA,1717826423
58,karasburg,-28.0167,18.75,6.46,65,0,5.24,NA,1717826423
59,ondjiva,-17.0667,15.7333,11.02,30,6,3.09,AO,1717826424
60,hermanus,-34.4187,19.2345,7.67,76,16,3.17,ZA,1717826424
61,camana,-16.6228,-72.7111,17.23,85,3,2.02,PE,1717826424
62,port alfred,-33.5906,26.891,14.61,72,73,2.79,ZA,1717826424
63,san ignacio de velasco,-16.3667,-60.95,18.46,55,0,0.35,BO,1717826425
64,kilindoni,-7.9139,39.6668,26.77,71,23,5.18,TZ,1717826425
65,kayangel,8.0823,134.7173,28.94,74,100,3.39,PW,1717826425
66,margaret river,-33.95,115.0667,18.92,59,88,6.81,AU,1717826425
67,champerico,14.3,-91.9167,26.49,88,100,2.7,GT,1717826426
68,hadibu,12.65,54.0333,29.92,73,53,9.03,YE,1717826426
69,al fqih ben calah,32.5009,-6.6906,16.52,70,38,2.18,MA,1717826426
70,kone,-21.0595,164.8658,25.36,56,48,2.7,NC,1717826426
71,port mathurin,-19.6833,63.4167,23.82,78,16,9.6,MU,1717826427
72,coquimbo,-29.9533,-71.3436,11.85,100,100,1.54,CL,1717826427
73,tshikapa,-6.4167,20.8,24.81,60,53,0.33,CD,1717826427
74,platteville,42.7342,-90.4785,17.31,74,0,0.0,US,1717826356
75,labuan,5.2767,115.2417,30.2,79,20,2.24,MY,1717826427
76,bredasdorp,-34.5322,20.0403,8.29,86,10,1.8,ZA,1717826428
77,vorgashor,67.5833,63.95,-1.22,93,100,5.26,RU,1717826428
78,vadso,70.0744,29.7487,6.49,87,100,10.8,NO,1717826428
79,nabire,-3.3667,135.4833,28.98,77,68,1.89,ID,1717826428
80,salalah,17.0151,54.0924,31.86,67,57,6.36,OM,1717826429
81,utrik,11.2278,169.8474,27.98,82,100,4.57,MH,1717826429
82,rosso,16.4986,-15.8153,23.38,54,2,4.45,SN,1717826429
83,privas,44.5833,4.5,17.51,86,87,0.61,FR,1717826429
84,tiksi,71.6872,128.8694,3.33,75,39,3.45,RU,1717826429
85,wuwei,37.9281,102.6414,26.33,22,70,1.35,CN,1717826430
86,as sulayyil,20.4607,45.5779,37.14,9,3,8.24,SA,1717826430
87,tindouf,27.6711,-8.1474,20.25,49,0,2.57,DZ,1717826430
88,lihue,21.9789,-159.3672,27.58,82,12,4.89,US,1717826430
89,nyurba,63.2842,118.3319,25.1,30,12,0.76,RU,1717826430
90,vernal,40.4555,-109.5287,22.84,42,0,4.63,US,1717826190
91,okhotsk,59.3833,143.3,4.44,86,100,1.61,RU,1717826431
92,luanda,-8.8368,13.2343,22.0,83,75,0.0,AO,1717826334
93,mana,5.6592,-53.7767,25.37,89,75,2.77,GF,1717826431
94,beloyarskiy,63.7119,66.6722,18.33,27,0,2.24,RU,1717826431
95,nguruka,-5.1092,31.0419,21.42,46,34,2.65,TZ,1717826431
96,iskateley,67.6803,53.1512,1.12,92,76,3.58,RU,1717826431
97,pionerskiy,54.9508,20.2275,15.08,75,73,3.99,RU,1717826431
98,punta arenas,-53.15,-70.9167,2.06,80,0,4.63,CL,1717826432
99,meadow lake,34.8014,-106.5436,25.08,37,92,2.23,US,1717826432
100,greymouth,-42.4667,171.2,9.8,89,3,2.18,NZ,1717826432
101,milas,37.3164,27.7839,29.15,61,0,2.06,TR,1717826432
102,ibusuki,31.2333,130.65,21.5,91,100,7.07,JP,1717826433
103,kasungu,-13.0333,33.4833,21.6,48,0,2.23,MW,1717826433
104,taksimo,56.3444,114.8794,8.84,87,100,1.06,RU,1717826433
105,portland,45.5234,-122.6762,20.3,52,0,0.72,US,1717826433
106,daru,-9.0763,143.2092,26.17,85,72,6.91,PG,1717826433
107,castanos,26.7833,-101.4167,30.51,32,0,5.01,MX,1717826434
108,izmail,45.3493,28.8408,25.16,50,82,0.56,UA,1717826434
109,las tablas,7.7667,-80.2833,26.36,88,100,0.98,PA,1717826434
110,zaozersk,69.4005,32.4476,8.51,67,97,8.57,RU,1717826434
111,serov,59.6033,60.5787,18.32,54,7,1.02,RU,1717826435
112,praia da vitoria,38.7333,-27.0667,18.2,88,40,2.71,PT,1717826435
113,port elizabeth,-33.918,25.5701,13.21,82,92,2.83,ZA,1717826435
114,vanimo,-2.6741,141.3028,29.19,74,94,2.17,PG,1717826435
115,bardai,11.65,7.2333,24.47,76,99,4.94,NG,1717826435
116,lebu,-37.6167,-73.65,13.66,90,100,6.22,CL,1717826436
117,vitez,44.1544,17.7903,20.64,86,32,0.83,BA,1717826436
118,ust-nera,64.5667,143.2,13.21,25,82,7.51,RU,1717826436
119,slave lake,55.2834,-114.769,5.99,87,100,3.6,CA,1717826436
120,metkovic,43.0542,17.6483,21.26,61,13,1.39,HR,1717826437
121,avarua,-21.2078,-159.775,19.03,72,40,1.03,CK,1717826437
122,vikulovo,56.8167,70.6107,12.52,90,100,5.09,RU,1717826437
123,zeya,53.75,127.2667,19.71,29,22,3.47,RU,1717826437
124,nar'yan-mar,67.6713,53.087,1.17,92,69,3.58,RU,1717826437
125,itoman,26.1247,127.6694,28.21,91,75,8.23,JP,1717826438
126,tazovsky,67.4667,78.7,5.51,79,96,5.75,RU,1717826438
127,naze,28.3667,129.4833,23.51,87,100,4.17,JP,1717826438
128,ancud,-41.8697,-73.8203,10.98,96,100,2.79,CL,1717826438
129,awjilah,29.1081,21.2869,23.91,51,0,6.09,LY,1717826438
130,dzerzhinskoye,56.8344,95.2283,12.08,80,100,3.7,RU,1717826438
131,spring creek,40.7266,-115.5859,16.83,71,67,1.7,US,1717826439
132,stanley,54.868,-1.6985,8.62,81,20,4.12,GB,1717826439
133,luderitz,-26.6481,15.1594,16.21,44,0,8.96,NA,1717826439
134,hilo,19.7297,-155.09,27.93,92,62,0.89,US,1717826439
135,el hadjira,32.6134,5.5126,30.07,13,68,3.82,DZ,1717826439
136,umm kaddadah,13.6017,26.6876,30.55,41,39,5.83,SD,1717826440
137,levuka,50.1834,-105.4011,10.84,53,63,4.28,CA,1717826440
138,amahai,-3.3333,128.9167,26.63,86,100,3.76,ID,1717826440
139,mahanoro,-19.9,48.8,23.38,68,0,1.14,MG,1717826440
140,otjimbingwe,-22.35,16.1333,8.29,48,1,4.57,NA,1717826440
141,arkhangel'sk,64.5401,40.5433,19.06,55,40,3.0,RU,1717826441
142,leninskoye,41.7589,69.3864,30.28,24,32,2.66,KZ,1717826441
143,cherdyn',60.403,56.4787,17.76,56,35,1.14,RU,1717826441
144,el calafate,-50.3408,-72.2768,2.83,87,100,1.38,AR,1717826441
145,aykhal,66.0,111.5,18.96,35,99,4.12,RU,1717826441
146,mahibadhoo,3.7833,72.9667,28.91,75,89,6.69,MV,1717826441
147,touros,-5.1989,-35.4608,23.91,93,93,3.53,BR,1717826442
148,dogubayazit,39.5469,44.0842,21.32,47,72,2.08,TR,1717826442
149,tralee,52.2704,-9.7026,11.53,92,100,4.06,IE,1717826442
150,mount isa,-20.7333,139.5,21.87,35,0,4.12,AU,1717826406
151,olonkinbyen,70.9221,-8.7187,1.4,88,48,4.33,SJ,1717826442
152,ain oussera,35.4514,2.9058,28.99,18,46,9.82,DZ,1717826442
153,les avirons,-21.2418,55.3394,24.05,53,0,1.03,RE,1717826442
154,mount gambier,-37.8333,140.7667,14.25,67,95,2.66,AU,1717826443
155,college,64.8569,-147.8028,21.99,35,40,1.54,US,1717826231
156,haiku-pauwela,20.9219,-156.3051,24.47,83,25,2.24,US,1717826443
157,san luis de la loma,17.2706,-100.8939,25.49,79,100,0.67,MX,1717826443
158,udachny,66.4167,112.4,21.36,28,63,2.18,RU,1717826443
159,castillos,-34.1667,-53.8333,13.44,97,94,1.65,UY,1717826443
160,minot air force base,48.4209,-101.3391,12.1,65,0,5.66,US,1717826344
161,westport,41.1415,-73.3579,18.02,78,10,0.89,US,1717826444
162,east falmouth,41.5784,-70.5586,18.28,87,8,1.34,US,1717826444
163,crucecita,-28.95,-58.9833,18.37,91,52,3.55,AR,1717826444
164,el porvenir,13.7617,-87.3458,24.63,95,100,0.49,HN,1717826444
165,jayapura,-2.5333,140.7,32.66,72,65,2.3,ID,1717826444
166,chonchi,-42.6128,-73.8092,11.56,98,100,0.67,CL,1717826445
167,livingston,55.9029,-3.5226,10.49,80,20,3.6,GB,1717826445
168,jamestown,42.097,-79.2353,14.2,94,100,3.6,US,1717826445
169,hawaiian paradise park,19.5933,-154.9731,23.91,83,64,1.97,US,1717826445
170,nyagan,62.1406,65.3936,18.61,36,3,2.78,RU,1717826445
171,thompson,55.7435,-97.8558,4.09,93,100,3.6,CA,1717826445
172,badger,64.8,-147.5333,21.95,38,40,1.54,US,1717826446
173,thunder bay,48.4001,-89.3168,8.99,93,20,2.06,CA,1717826317
174,taloda,21.5667,74.2167,31.16,57,96,3.99,IN,1717826446
175,lukolela,-1.0605,17.1821,22.73,88,97,1.17,CD,1717826446
176,bamako,12.65,-8.0,25.23,88,20,2.57,ML,1717826446
177,galesong,-5.3166,119.3661,32.01,67,55,2.6,ID,1717826446
178,aleksandrovsk-sakhalinskiy,50.8975,142.1561,15.31,98,100,3.15,RU,1717826447
179,pangai,-19.8,-174.35,24.06,64,40,6.17,TO,1717826447
180,villa berthet,-27.2917,-60.4126,20.27,67,22,3.96,AR,1717826447
181,carlos chagas,-17.7031,-40.7664,21.04,91,100,1.86,BR,1717826447
182,isafjordur,66.0755,-23.124,1.81,86,85,3.72,IS,1717826447
183,santa terezinha,-29.9002,-50.0904,17.37,90,6,1.66,BR,1717826447
184,tadmur,34.5608,38.2805,35.9,18,1,3.61,SY,1717826448
185,sarangarh,21.6,83.0833,40.04,29,93,4.66,IN,1717826448
186,cannonvale,-20.2833,148.7,19.77,51,0,4.31,AU,1717826448
187,sabang,5.8933,95.3214,29.27,73,71,6.94,ID,1717826448
188,mejit,10.2753,170.8646,28.47,78,72,5.21,MH,1717826449
189,taroa,8.7058,171.2275,28.65,80,73,5.52,MH,1717826449
190,smithers,54.7804,-127.1743,14.18,54,0,1.54,CA,1717826449
191,bodo,67.28,14.405,12.47,76,0,4.63,NO,1717826449
192,suntar,62.1444,117.6319,23.23,33,12,1.64,RU,1717826449
193,mangrol,21.1167,70.1167,31.24,62,79,3.53,IN,1717826449
194,greenland,43.0362,-70.8328,16.65,90,100,2.57,US,1717826450
195,progreso,21.2833,-89.6667,27.76,91,8,3.69,MX,1717826450
196,blitar,-8.0983,112.1681,28.52,68,69,3.64,ID,1717826450
197,waingapu,-9.6567,120.2641,28.4,70,56,7.59,ID,1717826450
198,al kharijah,25.4514,30.5464,35.11,16,0,5.69,EG,1717826450
199,yellowknife,62.456,-114.3525,8.01,95,100,5.66,CA,1717826450
200,berezovyy,51.6667,135.7,9.19,81,100,0.94,RU,1717826451
201,kulhudhuffushi,6.6221,73.07,28.98,77,78,6.83,MV,1717826451
202,lehi,40.3916,-111.8508,20.97,58,100,1.79,US,1717826451
203,ugoofaaru,5.6667,73.0,28.79,77,100,7.55,MV,1717826451
204,benghazi,32.1167,20.0667,23.32,75,0,5.9,LY,1717826451
205,paradip garh,20.3167,86.6167,37.42,43,97,7.21,IN,1717826451
206,palembang,-2.9167,104.7458,32.05,66,40,2.57,ID,1717826452
207,usinsk,65.9939,57.5281,7.26,53,1,4.02,RU,1717826452
208,marsa alam,25.0757,34.8918,34.12,32,5,6.78,EG,1717826452
209,niquero,20.0431,-77.5828,26.71,84,100,2.83,CU,1717826452
210,nova sintra,14.8667,-24.7167,24.62,76,27,5.99,CV,1717826452
211,shalqar,47.8333,59.6,30.76,31,55,5.43,KZ,1717826452
212,vernon,50.2581,-119.2691,16.74,36,20,2.06,CA,1717826320
213,zag,46.9441,99.165,23.69,11,96,2.52,MN,1717826453
214,ak-suu,42.4995,78.527,19.07,44,9,3.29,KG,1717826453
215,saint-philippe,-21.3585,55.7679,25.77,77,37,4.63,RE,1717826453
216,bandarbeyla,9.4942,50.8122,30.93,54,39,11.66,SO,1717826453
217,kalix,65.853,23.1565,10.36,65,36,3.33,SE,1717826454
218,caleta de carquin,-11.0925,-77.6267,17.55,89,29,4.11,PE,1717826454
219,tolanaro,-25.0319,46.9987,20.04,77,20,2.06,MG,1717826454
220,nova vicosa,-17.8919,-39.3719,22.75,83,0,1.2,BR,1717826454
221,persembe,41.0656,37.7714,22.56,72,90,2.02,TR,1717826454
222,fuveau,43.4558,5.5615,18.84,53,100,1.67,FR,1717826455
223,ambalangoda,6.2355,80.0538,28.62,78,98,6.12,LK,1717826455
224,argo,37.6333,22.7333,29.26,36,0,2.24,GR,1717826455
225,malysheva,57.1185,61.4035,13.49,72,95,2.9,RU,1717826455
226,longyearbyen,78.2186,15.6401,5.91,65,0,2.57,SJ,1717826231
227,piti village,13.4626,144.6933,31.05,76,68,4.51,GU,1717826455
228,hamilton,39.1834,-84.5333,17.76,75,18,0.62,US,1717826456
229,isangel,-19.55,169.2667,27.06,69,75,4.12,VU,1717826456
230,sitka,57.0531,-135.33,12.72,66,75,2.59,US,1717826456
231,holualoa,19.6228,-155.9522,26.04,88,37,2.73,US,1717826456
232,gilgit,35.9221,74.3087,19.42,43,100,1.5,PK,1717826456
233,constantia,44.1833,28.65,26.5,59,3,1.45,RO,1717826456
234,baardheere,2.3446,42.2764,27.67,66,66,8.54,SO,1717826456
235,zuni pueblo,35.0725,-108.8506,18.35,32,94,1.73,US,1717826457
236,santana,-0.0583,-51.1817,26.1,83,100,2.06,BR,1717826457
237,soio,-6.1349,12.3689,22.17,87,48,2.45,AO,1717826457
238,happy valley-goose bay,53.3168,-60.3315,12.17,82,20,4.12,CA,1717826457
239,buka,40.8108,69.1986,33.0,19,14,3.49,UZ,1717826457
240,smirnykh,49.75,142.8333,20.43,65,100,4.32,RU,1717826457
241,ar ruways,24.1103,52.7306,38.3,22,4,2.0,AE,1717826458
242,georgetown,5.4112,100.3354,32.97,63,20,4.12,MY,1717826458
243,babayurt,43.6002,46.7789,28.81,39,86,3.11,RU,1717826458
244,richards bay,-28.783,32.0377,18.65,52,98,5.74,ZA,1717826458
245,mineiros,-17.5694,-52.5511,16.36,64,2,1.55,BR,1717826458
246,newman,37.3138,-121.0208,22.86,57,64,2.63,US,1717826459
247,kangding,30.0513,101.9603,16.95,86,93,2.69,CN,1717826459
248,kourou,5.1552,-52.6478,24.03,93,99,1.59,GF,1717826459
249,wladyslawowo,54.7909,18.4009,15.52,74,80,3.71,PL,1717826459
250,aasiaat,68.7098,-52.8699,0.47,82,90,2.21,GL,1717826459
251,sisimiut,66.9395,-53.6735,3.61,83,80,2.17,GL,1717826459
252,ryotsu-minato,38.0833,138.4333,22.52,63,77,1.65,JP,1717826460
253,trimbak,19.9333,73.55,25.71,69,100,1.72,IN,1717826460
254,san antonio de pale,-1.4014,5.6325,24.8,76,92,4.19,GQ,1717826460
255,okha,53.5739,142.9478,4.58,90,100,0.89,RU,1717826460
256,kashary,49.04,41.0056,23.0,54,0,5.34,RU,1717826460
257,carbonear,47.7332,-53.2148,9.86,96,20,0.86,CA,1717826460
258,leer,53.2316,7.461,13.89,82,82,5.26,DE,1717826461
259,elliot lake,46.3834,-82.6331,10.39,91,100,2.38,CA,1717826260
260,boende,-0.2167,20.8667,25.17,79,95,0.62,CD,1717826461
261,heroica caborca,30.7167,-112.15,29.44,19,0,1.24,MX,1717826430
262,kununurra,-15.7667,128.7333,25.99,25,21,5.14,AU,1717826461
263,manzanillo,20.3433,-77.1167,26.14,84,98,1.64,CU,1717826461
264,mount pearl,47.5166,-52.7813,9.14,97,100,0.89,CA,1717826461
265,valenza,45.0141,8.6414,21.74,86,66,1.75,IT,1717826462
266,devakottai,9.95,78.8167,31.29,60,99,7.32,IN,1717826462
267,opuwo,-18.0607,13.84,11.03,36,5,5.06,NA,1717826461
268,preobrazheniye,42.9019,133.9064,18.15,71,94,1.91,RU,1717826462
269,turuntayevo,52.2,107.6167,24.05,33,54,3.28,RU,1717826462
270,guli,28.8833,120.0333,28.43,61,85,1.72,CN,1717826462
271,new norfolk,-42.7826,147.0587,11.72,73,64,1.11,AU,1717826462
272,akureyri,65.6835,-18.0878,1.96,93,100,11.83,IS,1717826463
273,sao joao da barra,-21.6403,-41.0511,21.69,87,0,1.74,BR,1717826463
274,belyy yar,53.6039,91.3903,21.94,73,0,2.0,RU,1717826463
275,sao jose,-28.2333,-49.1667,16.08,93,11,1.01,BR,1717826463
276,ambovombe,-25.1667,46.0833,22.45,74,0,3.82,MG,1717826463
277,toliara,-23.35,43.6667,24.7,69,0,2.0,MG,1717826464
278,whitehorse,60.7161,-135.0538,18.43,27,20,2.57,CA,1717826464
279,las rosas,-32.4766,-61.5804,18.81,94,100,4.05,AR,1717826178
280,changyon,38.2508,125.0961,23.95,59,88,4.2,KP,1717826464
281,nephi,39.7102,-111.8363,18.75,80,13,0.64,US,1717826464
282,la plata,-34.9215,-57.9545,16.13,99,100,3.09,AR,1717826464
283,sao felix do xingu,-6.6447,-51.995,21.72,83,29,0.85,BR,1717826465
284,cestos city,5.46,-9.5828,25.39,88,72,2.01,LR,1717826465
285,santiago de cao,-7.9589,-79.2392,16.07,94,100,4.12,PE,1717826465
286,saipan,15.1355,145.701,32.39,62,40,5.66,MP,1717826465
